id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12069,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19865290.0,19865290.0,False,,1,,,,2025-05-16T10:29:00.000Z,103756.74430318043,52151765987.14769,19.2915,0.00748972,1.85035178,0.64832143,23.68555576,24.31110083,6.33850321,2061157815038.527,61.9035,2178891630366.79,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
1027,Ethereum,ETH,ethereum,10293,2015-08-07T00:00:00.000Z,"['pos', 'defi', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'avalanche-ecosystem', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'base-ecosystem', 'modular-blockchain', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120727923.27869779,120727923.27869779,True,,2,,,,2025-05-16T10:29:00.000Z,2613.555725871896,25794148538.331306,12.0306,0.12111548,2.87537339,11.87413433,65.46647423,36.65554905,-3.26295705,315529155157.6636,9.4764,315529155157.66,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
825,Tether USDt,USDT,tether,128075,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,151053955711.16483,155507401101.83896,True,,3,,,,2025-05-16T10:28:00.000Z,1.000113279125198,88634259288.88686,12.681,0.0035317,-0.00249322,0.00136864,0.01174805,0.02127077,0.0014843,151071066971.1255,4.5372,155525016844.2,,2025-05-16T10:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-16 12:30:38.707505
52,XRP,XRP,xrp,1608,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58622147738.0,99986131469.0,False,,4,,,,2025-05-16T10:29:00.000Z,2.4188208461783263,5453347122.213621,32.6521,0.47505811,-2.25359065,2.05528168,16.49288836,3.50827009,-13.57255494,141796472996.42,4.2586,241882084617.83,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
1839,BNB,BNB,bnb,2527,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'defi', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'modular-blockchain']",,140888755.46,140888755.46,False,,5,,,,2025-05-16T10:29:00.000Z,655.6738790923491,1841688593.8776186,4.0779,0.21373248,0.91056251,3.5949943,13.22638086,3.22991739,-0.01882817,92377076812.95158,2.7748,92377076812.95,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
5426,Solana,SOL,solana,917,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'defi', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'modular-blockchain', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,519699076.08659387,600797539.759948,True,,6,,,,2025-05-16T10:29:00.000Z,172.3836161360244,4259024676.2361984,8.5113,0.53569925,1.18488268,2.88666773,37.23291961,33.61400538,-11.27750874,89587606038.35793,2.6906,103567652469.45,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
3408,USDC,USDC,usd-coin,27919,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60644604155.28075,60644604155.28075,False,,7,,,,2025-05-16T10:29:00.000Z,0.9996963610329773,11482247176.576706,14.2929,-0.01471305,-0.00530788,-0.03018076,-0.02636566,-0.02813987,-0.02279095,60626190090.319534,1.8208,60626190090.32,,2025-05-16T10:29:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-16 12:30:38.707505
74,Dogecoin,DOGE,dogecoin,1221,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america']",,149285286383.70514,149285286383.70514,True,,8,,,,2025-05-16T10:29:00.000Z,0.22791345389307607,2416071868.097693,25.4399,0.5999548,1.33909771,10.29001852,48.48407655,31.48360435,-18.2767734,34024125235.12724,1.0219,34024125235.13,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
2010,Cardano,ADA,cardano,1516,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'defi', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'alleged-sec-securities', 'modular-blockchain', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35320106571.10285,44994491863.17583,False,,9,,,,2025-05-16T10:29:00.000Z,0.7785299981609141,1188982402.600436,17.4013,0.21017289,1.2479997,-1.18577798,28.18437545,7.71344092,-2.23479951,27497762503.84399,0.826,35033849917.24,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
1958,TRON,TRX,tron,1175,2017-09-13T00:00:00.000Z,"['media', 'defi', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'dwf-labs-portfolio', 'alleged-sec-securities', 'modular-blockchain', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94894888606.37404,94894905145.53976,True,,10,,,,2025-05-16T10:29:00.000Z,0.2735394041932798,1050494795.6131587,11.5846,-0.02267522,1.84013744,5.70092659,7.70648399,28.14112204,17.61413533,25957491290.375214,0.7797,25957495814.49,,2025-05-16T10:29:00.000Z,,,,,,2025-05-16 12:30:38.707505
